on x=-36..14,y=-44..6,z=-39..13
on x=-34..11,y=-15..33,z=-44..9
on x=-14..38,y=-29..17,z=-43..6
on x=-11..43,y=-5..46,z=-21..23
on x=-32..12,y=-41..10,z=-3..45
on x=-45..3,y=-39..13,z=-43..11
on x=-32..19,y=-35..14,z=-32..21
on x=-31..19,y=-30..24,z=-2..42
on x=-26..27,y=-31..19,z=-7..45
on x=-12..34,y=-33..16,z=-19..29
off x=-36..-26,y=7..19,z=5..14
on x=-35..16,y=-14..30,z=-44..3
off x=5..24,y=-14..2,z=-5..5
on x=-32..20,y=-47..-2,z=-3..47
off x=-5..10,y=-7..2,z=-46..-33
on x=-49..-1,y=-36..12,z=-10..43
off x=-7..10,y=-31..-21,z=28..44
on x=-47..2,y=-9..40,z=-21..29
off x=-30..-11,y=-26..-12,z=-35..-16
on x=-38..15,y=-5..39,z=-31..17
on x=55050..66782,y=-62460..-30854,z=-14015..-5197
on x=-88638..-56988,y=-31345..-13684,z=-33259..-5508
on x=-43564..-23143,y=27466..56003,z=-72838..-60338
on x=-41489..-38022,y=-73448..-51204,z=-1608..23966
on x=19728..56017,y=-60071..-38727,z=-51286..-42612
on x=-63826..-55027,y=-44537..-29041,z=-48692..-27473
on x=28145..52875,y=-75426..-42037,z=-49320..-33711
on x=-72957..-52405,y=-29082..-15140,z=19178..40669
on x=44916..63235,y=-22915..12344,z=42403..52092
on x=71687..97696,y=-30832..3055,z=-17226..-3080
on x=58050..80929,y=-27272..-8866,z=-17840..15548
on x=-18265..6135,y=68247..92816,z=-18728..12029
on x=-28892..-8055,y=50851..73536,z=27048..46779
on x=62613..86327,y=-39664..-29859,z=17739..28608
on x=-70851..-48296,y=32796..50320,z=-42268..-34436
on x=42390..64686,y=36571..70932,z=-48438..-30771
on x=-18530..8296,y=-45897..-21889,z=-85437..-64313
on x=-81874..-71335,y=22786..41546,z=-19045..-6954
on x=22199..42536,y=-36200..-16817,z=57223..81384
on x=19424..37413,y=-9435..4860,z=58521..92641
on x=-64537..-47965,y=-40542..-29271,z=-41922..-36178
on x=-33079..-10809,y=54033..80625,z=-28851..-10788
on x=-292..24871,y=-12107..9997,z=-90895..-63776
on x=43542..47405,y=-59652..-40725,z=-40755..-29775
on x=44687..56561,y=-53895..-21146,z=41683..65962
on x=13420..36259,y=-85461..-65605,z=-4141..16917
on x=60532..79347,y=27323..51185,z=-7691..11400
on x=-88120..-63648,y=-34487..-23462,z=-30353..-4077
on x=-32927..-25375,y=-75138..-70405,z=-19304..-8496
on x=60862..86799,y=-18209..-954,z=-35545..-8648
on x=53922..86481,y=-32464..-3621,z=-56212..-32601
on x=18204..31133,y=-89440..-54503,z=7455..42751
on x=56715..65840,y=38031..44327,z=-36533..-16973
on x=35147..54452,y=54372..76225,z=-30443..-4478
on x=-50569..-48968,y=41070..49964,z=-59049..-45784
on x=-61581..-24618,y=46724..68986,z=-40456..-22626
on x=-54601..-37117,y=31717..53974,z=-36193..-18098
on x=-57107..-27031,y=48795..82237,z=6748..19938
on x=-45583..-31282,y=38169..58042,z=-68468..-47574
on x=-52062..-32739,y=-62484..-56535,z=-38038..-12913
on x=66265..86514,y=-42235..-12317,z=-6130..6920
on x=-6466..6219,y=-83756..-62169,z=-57103..-39908
on x=3713..24506,y=50955..65927,z=-62043..-25951
on x=-54190..-27125,y=-36115..-9702,z=43412..70469
on x=49007..58714,y=-10241..21284,z=-71357..-40534
on x=-15037..2086,y=70803..89332,z=-17759..1469
