LRLRRLLRRLRLRRLLRRLRRLLRRLRRRLRRLRRLRRRLRRLRLRLRLLLRRRLRLLRRLRLRRRLRRLLRRLRRRLRRLRLRLRRRLRLRRRLLRLLRRLRRRLLRRLRLLLRRLRLRLLRRLRLRRRLLRLLRRRLRLLRRRLRRLRRLRRRLRRRLLRLLRRRLRRRLRRLRRRLLRRRLRLRRLLRRLRLRLRRLRRLRLLRRRLRRRLLLRLRLRRRLLRRLRRRLRLRRLLRRLRRLLRLRLRRRLRLRLRLRRRLRLLRRRLRRRLRRLLLRRRR

LCP = (FQJ, JGH)
FFQ = (PJQ, GPP)
NQP = (LFH, SCS)
BMS = (RMX, JCT)
VHP = (GJC, SRK)
TBP = (RQG, RLP)
VMF = (KJL, QSR)
QLQ = (DVJ, RQK)
GNA = (VSL, QGP)
KFP = (RRM, CLR)
MRV = (DNB, QLR)
CCX = (PLC, RQD)
MHS = (HHB, MFG)
FFX = (HQG, VFQ)
NTM = (TDB, GRX)
FMT = (SVR, PKN)
HCT = (DLB, RQF)
SJR = (NXV, TXT)
XNS = (KNC, SJN)
HPL = (XBG, XBG)
HTG = (XVG, QLN)
TCL = (BSB, FHJ)
JMK = (XRK, DVL)
GSL = (JBM, PPG)
QLK = (GQP, TTM)
HVR = (VHP, VKC)
BPG = (GNX, GJJ)
GLM = (PXJ, MKB)
GRS = (NDC, KSG)
KPF = (QCN, MRV)
JTP = (GQD, XHK)
RJG = (HCC, XMN)
KKG = (RBC, PDJ)
FPD = (NPJ, LLK)
VSM = (RLB, BMS)
JSB = (SGV, FMP)
GJL = (DVF, BPR)
VLH = (XXV, GSM)
JLQ = (GKB, GVM)
HHH = (PHG, XMR)
KQS = (FTH, BBG)
FCA = (QHT, STM)
LKK = (XRL, CRP)
MPP = (VLT, TCT)
RQK = (JNK, KMB)
TDG = (CHP, QHR)
LXH = (TQG, FKX)
LPG = (FGX, LSG)
RLS = (LDF, DSD)
DJH = (SGV, FMP)
BXS = (PDG, RVN)
FDC = (RDF, FNR)
DTX = (MTT, HHH)
FDD = (FDC, VBJ)
BVN = (BGN, SBD)
JCJ = (VDH, KXG)
SJS = (JLQ, PDL)
KXB = (TDB, GRX)
MQJ = (XPN, VRR)
BPR = (MHV, TVL)
SQB = (DSF, GSG)
QPC = (JTR, VSF)
DQC = (GCQ, BFG)
BHB = (DJV, CCN)
PKR = (BSJ, GLH)
RVC = (PHK, MDT)
DHQ = (LVH, NRL)
CQC = (XVC, DKS)
JSX = (PXJ, MKB)
CTL = (CQG, RLS)
PHF = (RCC, SFR)
CGC = (MNN, RBF)
NDV = (LRN, GSJ)
CFV = (PVL, JCJ)
MKT = (SGJ, KPM)
RBH = (FXT, VCM)
TLL = (VLV, XGC)
XDZ = (STM, QHT)
JBR = (RCB, JLB)
XHS = (LDL, KHL)
CCC = (FVR, XQR)
JVZ = (DJH, JSB)
CCN = (HSB, KTT)
MDT = (MPP, TKK)
PCQ = (RBC, PDJ)
PCD = (CFV, SKD)
SQQ = (PLC, RQD)
GSJ = (CQC, HLL)
QLG = (BGG, FJF)
MCG = (VSM, BBB)
TCH = (PCQ, KKG)
LML = (FDX, DDZ)
KLD = (GGP, NNQ)
RCL = (KPN, BFR)
XLJ = (PKN, SVR)
MTT = (XMR, PHG)
HFL = (QGS, HJN)
FRS = (VDK, CGC)
KTT = (HXR, NRM)
RTQ = (BKN, GPS)
SBD = (GDP, CKK)
FGG = (CGV, GJV)
NGN = (FRS, NHT)
HSK = (JTP, QNN)
RVK = (TMV, TMV)
VDD = (KSG, NDC)
RQF = (VJS, HHK)
TJK = (LBJ, XHC)
RDQ = (SGB, VQJ)
LRN = (CQC, HLL)
HSS = (BKG, XKG)
CGV = (XBR, JRN)
RJV = (TQH, TGT)
NLB = (SJS, QMR)
TGD = (SXT, GFS)
LLK = (FHS, CPB)
BFM = (GMC, TKL)
BDH = (BCS, SDD)
AAA = (SGB, VQJ)
CNN = (FPC, GBN)
NBQ = (KTV, FTV)
HXH = (MHL, FSV)
SBX = (VPP, TCL)
GPS = (RTC, THZ)
MHV = (MPK, CML)
JQV = (KGJ, PBF)
TTL = (DLQ, RJV)
QLC = (BVG, RBH)
CTS = (DKN, NQP)
FNP = (BSG, BDS)
CXJ = (SKD, CFV)
CSH = (HQB, VVJ)
VLV = (JSX, GLM)
TQT = (FTK, DCS)
BNV = (XJR, CNM)
SXK = (GJH, BQG)
KLT = (RCL, RKP)
RFX = (CTL, JNH)
LDL = (CTS, KGK)
SVR = (CVX, FFQ)
PRK = (DXK, JFR)
FST = (SXM, LPX)
LNJ = (CCK, VMR)
DJL = (KLT, SQP)
QSR = (DVQ, QQF)
DVF = (TVL, MHV)
HFB = (STN, BQF)
JJL = (FDC, VBJ)
KBF = (MTM, NHK)
KMB = (BNV, LMF)
NSD = (XCN, VBL)
BNG = (VTB, FTQ)
VNF = (JFT, STT)
GRX = (HJR, RSQ)
LRB = (KXB, NTM)
VMR = (VJP, LSR)
KNC = (MSP, HSK)
XKG = (MCG, PCX)
VFQ = (BLL, JQF)
BVG = (VCM, FXT)
TJH = (TTX, BXT)
LSG = (RKT, GHC)
FCX = (HQQ, VJH)
DQG = (CSH, QQX)
STN = (FCX, CBR)
